spin,pocket
924,21
925,2
926,23
927,6
928,33
929,26
930,8
931,6
932,16
933,2
934,25
935,16
936,20
937,17
938,14
939,28
940,36
941,2
942,30
943,9
944,34
945,1
946,16
947,6
948,3
949,6
950,26
951,21
952,16
953,11
954,33
955,12
956,31
957,16
958,12
959,20
960,36
961,20
962,29
963,2
964,29
965,24
966,24
967,35
968,31
969,27
970,32
971,22
972,34
973,21
974,36
975,35
976,33
977,7
978,32
979,11
980,29
981,24
982,3
983,14
984,22
985,25
986,11
987,32
988,18
989,22
990,1
991,11
992,26
993,36
994,15
995,27
996,14
997,34
998,26
999,5
1000,5
